invoice_id,Customer_Name,industry,country,company_size,customer_type,contract_type,amount,days_to_due,days_late,past_due_ratio,profit_margin_trend,cash_flow_status,recent_loan_applications,credit_hold_history,industry_payment_benchmark,economic_health_index,late_payment
1,BioLab Research,IT Services,UK,Large,New,One-time,7547.44,45,49,0.79,Declining,Positive,1,FALSE,0.75,-0.1,1
2,MediAid Clinics,Construction,UK,Small,New,Recurring,6166.18,15,44,0.78,Declining,Negative,0,FALSE,0.63,0.84,1
3,MediCore Systems,Finance,DE,Medium,New,Recurring,6657.68,30,79,0.97,Declining,Positive,2,TRUE,0.54,-0.17,1
4,PowerGrid Utilities,Education,DE,Large,Returning,One-time,9639.89,45,48,0.87,Declining,Positive,2,FALSE,0.75,-0.79,1
5,Globo Retail,Finance,IE,Medium,New,One-time,9892.69,60,35,0.65,Improving,Negative,3,FALSE,0.75,-0.35,1
6,SafeGuard Security,Manufacturing,PK,Medium,Returning,Project-based,8390.76,45,53,0.87,Stable,Negative,2,TRUE,0.74,0.8,1
7,TechConnect,Finance,UK,Medium,Returning,Project-based,8520.79,45,37,0.72,Declining,Positive,3,TRUE,0.58,-0.76,1
8,HealthPlus Pharma,IT Services,UK,Medium,Returning,One-time,8914.16,30,18,0.36,Improving,Positive,4,TRUE,0.5,0.67,0
9,SkyLogistics,Education,IN,Large,Returning,Recurring,4237.5,30,35,0.17,Improving,Negative,4,FALSE,0.42,-0.74,1
10,BuildMax Engineering,IT Services,IN,Large,New,One-time,1889.28,30,33,0,Declining,Positive,1,TRUE,0.84,-0.22,1
11,CloudWorks Ltd,Manufacturing,DE,Small,New,One-time,6328.47,60,43,0.34,Declining,Positive,2,FALSE,0.9,0.4,1
12,SolarTech Energy,Retail,IN,Small,Returning,Project-based,3261.04,60,46,0.86,Declining,Negative,5,FALSE,0.67,-0.34,1
13,CloudWorks Ltd,Healthcare,DE,Small,New,Project-based,9254.97,60,53,0.38,Stable,Positive,2,TRUE,0.74,-0.96,1
14,Globo Retail,IT Services,PK,Small,New,One-time,1164.35,15,52,0.95,Improving,Positive,5,FALSE,0.37,0.9,1
15,PureBuild Construction,Manufacturing,US,Large,New,One-time,132.97,45,29,0.08,Stable,Negative,2,FALSE,0.74,-0.35,0
16,NovaFoods,Education,FR,Medium,Returning,Recurring,3581.86,30,70,0.73,Improving,Negative,3,TRUE,0.7,0.42,1
17,TechLine Systems,Construction,DE,Medium,Returning,One-time,7421.38,30,19,0.36,Stable,Positive,2,FALSE,0.62,-0.42,0
18,AutoParts Depot,Education,IE,Medium,New,One-time,7019.01,30,14,0.06,Improving,Negative,3,TRUE,0.87,-0.46,0
19,AutoZone Motors,Manufacturing,DE,Small,Returning,Project-based,4390.66,30,38,0.93,Improving,Positive,3,TRUE,0.64,-0.69,1
20,OmniTrade Co,Healthcare,PK,Large,Returning,Recurring,2456.83,45,64,0.94,Stable,Negative,4,FALSE,0.56,0.7,1
21,GlobalData Systems,Manufacturing,UK,Large,Returning,Project-based,8586.67,60,30,0.02,Declining,Negative,2,FALSE,0.56,0.04,0
22,GreenWay Manufacturing,Construction,PK,Small,Returning,Project-based,3734.58,45,52,0.87,Stable,Negative,5,FALSE,0.4,0.69,1
23,MediServe Diagnostics,Construction,IE,Large,Returning,Recurring,5448.92,15,28,0.99,Stable,Positive,3,FALSE,0.65,0.22,0
24,Globo Retail,Manufacturing,UK,Small,New,One-time,3392.63,30,33,0.3,Stable,Negative,3,FALSE,0.58,-0.47,1
25,MegaMart Group,Healthcare,PK,Large,New,Recurring,8465.64,45,45,0.59,Declining,Positive,4,TRUE,0.51,-0.98,1
26,ShopWise Market,Education,IE,Small,Returning,One-time,6279.4,45,43,0.14,Declining,Positive,5,TRUE,0.37,0.47,1
27,NovaCom IT,IT Services,DE,Large,New,Project-based,9182.02,15,46,0.08,Stable,Positive,0,TRUE,0.69,-0.14,1
